"","genres_1","genres_2","genres_3","genres_4","genres_5","genres_6","genres_7","genres_8","genres_9","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","num_genres"
"108","canadian pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s","1uNFoZAHBGtllmzznpCI3s","Justin Bieber",90,"artist","spotify:artist:1uNFoZAHBGtllmzznpCI3s","https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s",NA,77445880,2
"109","dance pop","hip pop","neo soul","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1XkoF8ryArs86LZvFOkbyr","1XkoF8ryArs86LZvFOkbyr","Mary J. Blige",72,"artist","spotify:artist:1XkoF8ryArs86LZvFOkbyr","https://open.spotify.com/artist/1XkoF8ryArs86LZvFOkbyr",NA,3932494,5
"110","dance pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/35GL8Cu2GKTcHzKGi75xl5","35GL8Cu2GKTcHzKGi75xl5","Jennifer Hudson",56,"artist","spotify:artist:35GL8Cu2GKTcHzKGi75xl5","https://open.spotify.com/artist/35GL8Cu2GKTcHzKGi75xl5",NA,1996202,3
"111","contemporary r&b","dance pop","hip pop","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0urTpYCsixqZwgNTkPJOJ4","0urTpYCsixqZwgNTkPJOJ4","Aaliyah",68,"artist","spotify:artist:0urTpYCsixqZwgNTkPJOJ4","https://open.spotify.com/artist/0urTpYCsixqZwgNTkPJOJ4",NA,4467213,5
"112","atl hip hop","contemporary r&b","dance pop","girl group","hip pop","r&b","urban contemporary",NA,NA,"https://api.spotify.com/v1/artists/0TImkz4nPqjegtVSMZnMRq","0TImkz4nPqjegtVSMZnMRq","TLC",71,"artist","spotify:artist:0TImkz4nPqjegtVSMZnMRq","https://open.spotify.com/artist/0TImkz4nPqjegtVSMZnMRq",NA,4087153,7
"113","contemporary r&b","dance pop","r&b","urban contemporary",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3X458ddYA2YcVWuVIGGOYe","3X458ddYA2YcVWuVIGGOYe","Toni Braxton",64,"artist","spotify:artist:3X458ddYA2YcVWuVIGGOYe","https://open.spotify.com/artist/3X458ddYA2YcVWuVIGGOYe",NA,4214096,4
"114","contemporary r&b","dance pop","hip pop","r&b","urban contemporary",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/05oH07COxkXKIMt6mIPRee","05oH07COxkXKIMt6mIPRee","Brandy",69,"artist","spotify:artist:05oH07COxkXKIMt6mIPRee","https://open.spotify.com/artist/05oH07COxkXKIMt6mIPRee",NA,3712161,5
"115","british soul","dance pop","pop","talent show",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5lKZWd6HiSCLfnDGrq9RAm","5lKZWd6HiSCLfnDGrq9RAm","Leona Lewis",65,"artist","spotify:artist:5lKZWd6HiSCLfnDGrq9RAm","https://open.spotify.com/artist/5lKZWd6HiSCLfnDGrq9RAm",NA,3583388,4
"116","dance pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4qwGe91Bz9K2T8jXTZ815W","4qwGe91Bz9K2T8jXTZ815W","Janet Jackson",66,"artist","spotify:artist:4qwGe91Bz9K2T8jXTZ815W","https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W",NA,3967803,3
"117","hip pop","pop","queens hip hop","rap",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",86,"artist","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",NA,32355557,4
"118","pop","rap",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB","4kYSro6naA4h99UJvo89HB","Cardi B",80,"artist","spotify:artist:4kYSro6naA4h99UJvo89HB","https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB",NA,24454260,2
"119","dance pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5cj0lLjcoR7YOSnhnX0Po5","5cj0lLjcoR7YOSnhnX0Po5","Doja Cat",86,"artist","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5",NA,31351613,2
"120","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/74KM79TiuVKeVCqs8QtB0B","74KM79TiuVKeVCqs8QtB0B","Sabrina Carpenter",95,"artist","spotify:artist:74KM79TiuVKeVCqs8QtB0B","https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B",NA,12835441,1
"121","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1McMsnEElThX1knmY4oliG","1McMsnEElThX1knmY4oliG","Olivia Rodrigo",88,"artist","spotify:artist:1McMsnEElThX1knmY4oliG","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG",NA,39894487,1
"122","art pop","pop",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",95,"artist","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH",NA,99845361,2
"123","houston rap","pop","rap","trap queen",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/181bsRPaVXVlUKXrxwZfHK","181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion",84,"artist","spotify:artist:181bsRPaVXVlUKXrxwZfHK","https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK",NA,9781543,4
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4fpTMHe34LC5t3h5ztK8qu","4fpTMHe34LC5t3h5ztK8qu","The Carters",53,"artist","spotify:artist:4fpTMHe34LC5t3h5ztK8qu","https://open.spotify.com/artist/4fpTMHe34LC5t3h5ztK8qu",NA,1623252,0
"125","dance pop","pop","urban contemporary",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ","4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey",79,"artist","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ",NA,10410774,3
"126","bedroom pop","pop","pov: indie",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/4Uc8Dsxct0oMqx0P6i60ea","4Uc8Dsxct0oMqx0P6i60ea","Conan Gray",79,"artist","spotify:artist:4Uc8Dsxct0oMqx0P6i60ea","https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea",NA,10107155,3
"127","australian pop","pop","viral pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3WGpXCj9YhhfX11TToZcXP","3WGpXCj9YhhfX11TToZcXP","Troye Sivan",79,"artist","spotify:artist:3WGpXCj9YhhfX11TToZcXP","https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP",NA,8337587,3
"128","neo mellow","piano rock","pop","pop rock",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0zOcE3mg9nS6l3yxt1Y0bK","0zOcE3mg9nS6l3yxt1Y0bK","The Fray",71,"artist","spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK","https://open.spotify.com/artist/0zOcE3mg9nS6l3yxt1Y0bK",NA,4054977,4
"129","metropopolis","modern rock","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7EQ0qTo7fWT7DPxmxtSYEc","7EQ0qTo7fWT7DPxmxtSYEc","Bastille",75,"artist","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","https://open.spotify.com/artist/7EQ0qTo7fWT7DPxmxtSYEc",NA,5561323,3
"130","modern alternative rock","modern rock","stomp pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3NPpFNZtSTHheNBaWC82rB","3NPpFNZtSTHheNBaWC82rB","X Ambassadors",72,"artist","spotify:artist:3NPpFNZtSTHheNBaWC82rB","https://open.spotify.com/artist/3NPpFNZtSTHheNBaWC82rB",NA,3027751,3
"131","modern rock","pop rock",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0MlOPi3zIDMVrfA9R04Fe3","0MlOPi3zIDMVrfA9R04Fe3","American Authors",65,"artist","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","https://open.spotify.com/artist/0MlOPi3zIDMVrfA9R04Fe3",NA,1568669,2
"132","folk-pop","neo mellow","pop rock",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6p5JxpTc7USNnBnLzctyd4","6p5JxpTc7USNnBnLzctyd4","Phillip Phillips",61,"artist","spotify:artist:6p5JxpTc7USNnBnLzctyd4","https://open.spotify.com/artist/6p5JxpTc7USNnBnLzctyd4",NA,1121892,3
