"","genres_1","genres_2","genres_3","genres_4","genres_5","genres_6","genres_7","genres_8","genres_9","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","num_genres"
"162","glam metal","rock",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp","58lV9VcRSjABbAbfWS6skp","Bon Jovi",80,"artist","spotify:artist:58lV9VcRSjABbAbfWS6skp","https://open.spotify.com/artist/58lV9VcRSjABbAbfWS6skp",NA,13877367,2
"163","dance pop","neo mellow","pop",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/6aZyMrc4doVtZyKNilOmwu","6aZyMrc4doVtZyKNilOmwu","Colbie Caillat",67,"artist","spotify:artist:6aZyMrc4doVtZyKNilOmwu","https://open.spotify.com/artist/6aZyMrc4doVtZyKNilOmwu",NA,2515374,3
"164","neo mellow",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3LpLGlgRS1IKPPwElnpW35","3LpLGlgRS1IKPPwElnpW35","James Morrison",63,"artist","spotify:artist:3LpLGlgRS1IKPPwElnpW35","https://open.spotify.com/artist/3LpLGlgRS1IKPPwElnpW35",NA,1535761,1
"165","neo mellow","pop rock",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5DYAABs8rkY9VhwtENoQCz","5DYAABs8rkY9VhwtENoQCz","Gavin DeGraw",61,"artist","spotify:artist:5DYAABs8rkY9VhwtENoQCz","https://open.spotify.com/artist/5DYAABs8rkY9VhwtENoQCz",NA,1267112,2
"166","neo mellow","singer-songwriter",NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/0hEurMDQu99nJRq8pTxO14","0hEurMDQu99nJRq8pTxO14","John Mayer",78,"artist","spotify:artist:0hEurMDQu99nJRq8pTxO14","https://open.spotify.com/artist/0hEurMDQu99nJRq8pTxO14",NA,6045362,2
"167","acoustic pop","lilith","neo mellow","pop rock","post-teen pop",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2Sqr0DXoaYABbjBo9HaMkM","2Sqr0DXoaYABbjBo9HaMkM","Sara Bareilles",65,"artist","spotify:artist:2Sqr0DXoaYABbjBo9HaMkM","https://open.spotify.com/artist/2Sqr0DXoaYABbjBo9HaMkM",NA,1947630,5
"168","neo mellow",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7KMqksf0UMdyA0UCf4R3ux","7KMqksf0UMdyA0UCf4R3ux","James Blunt",71,"artist","spotify:artist:7KMqksf0UMdyA0UCf4R3ux","https://open.spotify.com/artist/7KMqksf0UMdyA0UCf4R3ux",NA,3023320,1
"169","neo mellow","piano rock","pop rock",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7FgMLbnZVrEnir95O0YujA","7FgMLbnZVrEnir95O0YujA","Five For Fighting",57,"artist","spotify:artist:7FgMLbnZVrEnir95O0YujA","https://open.spotify.com/artist/7FgMLbnZVrEnir95O0YujA",NA,863212,3
"170","pop",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/7H55rcKCfwqkyDFH9wpKM6","7H55rcKCfwqkyDFH9wpKM6","Christina Perri",72,"artist","spotify:artist:7H55rcKCfwqkyDFH9wpKM6","https://open.spotify.com/artist/7H55rcKCfwqkyDFH9wpKM6",NA,3878689,1
"171","modern rock","neo mellow","neon pop punk","pop punk","pop rock",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/1g1yxsNVPhMUl9GrMjEb2o","1g1yxsNVPhMUl9GrMjEb2o","Plain White T's",64,"artist","spotify:artist:1g1yxsNVPhMUl9GrMjEb2o","https://open.spotify.com/artist/1g1yxsNVPhMUl9GrMjEb2o",NA,1265765,5
"172","neo mellow","permanent wave","pop rock","post-grunge",NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/2sil8z5kiy4r76CRTXxBCA","2sil8z5kiy4r76CRTXxBCA","The Goo Goo Dolls",76,"artist","spotify:artist:2sil8z5kiy4r76CRTXxBCA","https://open.spotify.com/artist/2sil8z5kiy4r76CRTXxBCA",NA,2906685,4
"173","neo mellow",NA,NA,NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3GBPw9NK25X1Wt2OUvOwY3","3GBPw9NK25X1Wt2OUvOwY3","Jack Johnson",77,"artist","spotify:artist:3GBPw9NK25X1Wt2OUvOwY3","https://open.spotify.com/artist/3GBPw9NK25X1Wt2OUvOwY3",NA,3879085,1
"174","neo mellow","pop rock","post-grunge",NA,NA,NA,NA,NA,NA,"https://api.spotify.com/v1/artists/3Ngh2zDBRPEriyxQDAMKd1","3Ngh2zDBRPEriyxQDAMKd1","Matchbox Twenty",70,"artist","spotify:artist:3Ngh2zDBRPEriyxQDAMKd1","https://open.spotify.com/artist/3Ngh2zDBRPEriyxQDAMKd1",NA,2541236,3
"175","lilith","neo mellow","piano rock","pop rock","post-teen pop",NA,NA,NA,NA,"https://api.spotify.com/v1/artists/5ILrArfIV0tMURcHJN8Q07","5ILrArfIV0tMURcHJN8Q07","Vanessa Carlton",64,"artist","spotify:artist:5ILrArfIV0tMURcHJN8Q07","https://open.spotify.com/artist/5ILrArfIV0tMURcHJN8Q07",NA,642306,5
