"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"222","Я","@egr--25777iloverb","https://yt3.ggpht.com/MHs8SBMIUYzcXFfkrfPcZxOJ9tnT0ERpnAz0ppujQ6gcOR6FAL_WdRReFFkYHob2dUoEBLOy6Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@egr--25777iloverb","UCYDcFkk619zqWuolQZHo7jQ","0","0","2024-08-04T10:24:49Z","2024-08-04T10:24:49Z","UgyppImZnTt3sWRyyR54AaABAg.A6i8YLpD0LOA6i9ZCw4KMO","UgyppImZnTt3sWRyyR54AaABAg","jNQXAC9IVRw"
"223","This is the first ever video on YouTube","@ReekerRooster","https://yt3.ggpht.com/ncoqFFWpttpz__AQDDaWw42-3btgLvCc8ZIqRbCQGNBjXFgr8pb6DHHWAksbeemZN9hvKob2sQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@ReekerRooster","UCSXE4Mn53MVJBQr0yQuKHIQ","0","0","2024-08-04T10:05:26Z","2024-08-04T10:05:26Z","UgzEYFGpi7NS9UjOE0x4AaABAg.A6i5iNdSkD7A6i7L8giHwv","UgzEYFGpi7NS9UjOE0x4AaABAg","jNQXAC9IVRw"
"224","Hii Hello","@alagarbabu8650","https://yt3.ggpht.com/L3jEoeCZnP1vIslnFGKhHKXYUrswS4SzDUyq95qD1UgUrPyeRYlvkSaMVPMee5zMVIi8cmhWSQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@alagarbabu8650","UCAa1tK2ZeLQDUJJqClX6Qkg","0","0","2024-08-04T10:02:35Z","2024-08-04T10:02:35Z","Ugz43Zwa-ha2SZeUwB14AaABAg.A6i50BYXTCAA6i70IvPqbH","Ugz43Zwa-ha2SZeUwB14AaABAg","jNQXAC9IVRw"
"225","😢","@Rongitoff6","https://yt3.ggpht.com/ytc/AIdro_mC-F_LUNsLxxHq0iRkdThSk-g8rlByJUfRPLo8n2HtbmB0G7VDfzswGgLJModTHVY6_A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Rongitoff6","UC_7jGdt-abmsDfWDh67oc_w","0","0","2024-08-04T08:23:27Z","2024-08-04T08:23:27Z","UgxKc20lg62UfrcVROl4AaABAg.A6hwWPMANapA6hwfDVARXM","UgxKc20lg62UfrcVROl4AaABAg","jNQXAC9IVRw"
"226","Bro you ain’t even the 100,000th person to comment","@Pear0279","https://yt3.ggpht.com/5Zt2SRGoQv8Na856NWEPm9pbtu6cJ4PQ3l7Qbr9md7GC9Dcd2P6vvhKJoV1cVzTw7TEc-Jad_Q=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Pear0279","UCeW_5LG43uCMaWjHRxYudiw","0","0","2024-08-04T08:18:30Z","2024-08-04T08:18:30Z","Ugxmt4ZIObj2gslCqrp4AaABAg.A6hw0cJCSTUA6hw63_Eu-W","Ugxmt4ZIObj2gslCqrp4AaABAg","jNQXAC9IVRw"
"227","@@Pear0279it’s a joke bruh 💀","@That1YTGuy","https://yt3.ggpht.com/aL7iGTDEUVn7U6qmX8v6oJqBVPChZ-yxjk_sTLLm5OJggD5h_lwxy4PTRw3E5vCrrOAM42IiO4Y=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@That1YTGuy","UCLT6HudKiB2P1AjA3wkHTFQ","0","0","2024-08-04T08:22:24Z","2024-08-04T08:22:24Z","Ugxmt4ZIObj2gslCqrp4AaABAg.A6hw0cJCSTUA6hwYXl34w-","Ugxmt4ZIObj2gslCqrp4AaABAg","jNQXAC9IVRw"
"228","😂","@Red_HotSungaming","https://yt3.ggpht.com/K1UA66BnniFejcO8VbvG8v0yy8DHmhAmoXOMFbezAky9oEjaLcVyrSfpIGCivBv7Co61blWp=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Red_HotSungaming","UC0xrzB1oqWNNhEBAxX11gMA","0","1","2024-08-04T07:54:34Z","2024-08-04T07:54:34Z","Ugx4jGl7RrwUsK4YlUV4AaABAg.A6htIfJBRgbA6htMi9kQjg","Ugx4jGl7RrwUsK4YlUV4AaABAg","jNQXAC9IVRw"
"229","I think this is 2024","@AyushJadhav1643","https://yt3.ggpht.com/ytc/AIdro_lE-2v4pt1Am5Vt4Pedf4xjFjaVCExlg_cJVl7OY2xcwvV1BhXRzUSHIHLwFa5dONFuTw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@AyushJadhav1643","UCAfRNPH7OIszXy4o8Rj6hnQ","0","0","2024-08-04T07:47:48Z","2024-08-04T07:47:48Z","UgySEt93pAdKJfRCZ6Z4AaABAg.A6hs2_cbSFCA6hsa9aNqaY","UgySEt93pAdKJfRCZ6Z4AaABAg","jNQXAC9IVRw"
"230","2 minutes ago","@sar4927","https://yt3.ggpht.com/BcUn6wxHcLdSPXV8zhBd5JRph2EjFNBTBIv9qjSv5AgU27Of1AhmGR2oAm6bBbanHcMxkuaBNg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@sar4927","UCDLYB6QLvcNsTTygr3Cphng","0","0","2024-08-04T07:30:10Z","2024-08-04T07:30:10Z","UgyGCsB_S4VoDDac5Yl4AaABAg.A6hqFWAIZZhA6hqZyR0EMY","UgyGCsB_S4VoDDac5Yl4AaABAg","jNQXAC9IVRw"
"231","me","@pomni-qz7pw","https://yt3.ggpht.com/ZyA5HTjXaBevAAdwToM5sJaEXjyvVK_culuD_I8KZi4tg_6Q5e8oToRVMh_v3Bk2BftUxgAwbA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@pomni-qz7pw","UCrbFLR9qkHUw03TSuVJ-BkA","0","0","2024-08-04T07:33:31Z","2024-08-04T07:33:31Z","UgyGCsB_S4VoDDac5Yl4AaABAg.A6hqFWAIZZhA6hqxZ5-Ob2","UgyGCsB_S4VoDDac5Yl4AaABAg","jNQXAC9IVRw"
